lowest_taxon,transient,genus,site_code,collection_date,max_forklength,my_rep,carbon,nitrogen,sulfur,c_percent,n_percent,s_percent,order,family,species,guild,transient_type,is_diadromous,id
H.cyanoguttatus,Resident,Herichthys,AR,2020-01-15,40,1,-27.85101853,21.88745179,2.55,42.29,12.61,0.82,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,AR,2020-01-15,80,1,-25.26300104,20.16069055,3.92,47.86,14.92,0.97,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,AR,2020-01-15,120,1,-26.15469258,19.12028795,3.92,47.56,14.47,0.92,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
I.punctatus,Resident,Ictalurus,AR,2020-01-15,120,1,-26.68423595,19.78999007,4.48,44.62,13.09,0.82,Siluriformes,Ictaluridae,punctatus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,AR,2020-01-15,80,1,-27.91808614,19.34192656,1.48,48.43,15.01,0.91,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,AR,2020-01-15,80,2,-25.97568831,18.57222829,3.9,47.44,14.81,0.89,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,AR,2020-01-15,120,1,-24.26932158,15.57834449,4.86,52.08,16.68,0.92,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,AR,2020-01-15,120,2,-25.45367858,17.34500169,4.51,64.96,20.7,0.93,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,AR,2020-01-15,80,1,-27.13828823,21.15730335,2.3,46.96,14.39,0.97,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,AR,2020-01-15,80,2,-23.43594741,16.81949463,5.53,47.94,15.05,1.07,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,AR,2020-01-15,120,1,-25.21323693,20.57543881,4.6,47.37,14.8,0.94,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,AR,2020-01-15,120,2,-23.44813454,15.40672681,6.12,47.87,14.62,1.02,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,80,1,-24.92277705,18.58646354,4.1,49.99,15.17,1.01,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,80,2,-25.7961879,19.60769285,4.23,46.32,14.39,1.03,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,120,1,-24.7988477,18.18687344,4.78,48.62,14.23,1,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,120,2,-25.19995081,19.57961262,4.37,48.76,14.85,1.02,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,120,3,-24.36826271,19.00121181,4.06,48.76,14.61,1.06,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,AR,2020-01-15,120,4,-24.60591171,17.75091228,4.78,48.68,14.94,0.92,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-01-15,40,1,-26.48272945,18.47041475,2.41,38.05,10.51,0.77,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-01-15,40,2,-27.49527668,19.29183833,1.7,43.94,12.9,0.98,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-01-15,40,3,-27.8388003,20.53677775,2.5,42.02,12.83,0.86,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-01-15,80,1,-26.92451285,18.94873757,4.09,49.27,15.09,1,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-01-15,80,2,-25.28839089,19.78126147,3.64,49.36,14.67,0.9,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-01-15,80,3,-24.66816864,20.19584068,1.99,42.67,12.95,0.99,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,AR,2020-01-15,80,4,-25.6255681,18.5440805,4.51,45.16,13.14,1.04,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,EM,2020-01-15,80,1,-25.03105764,16.33763548,7,43.14,13.22,0.85,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,EM,2020-01-15,80,2,-24.40883741,14.96970648,7.87,44.98,13.67,0.87,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,EM,2020-01-15,80,3,-25.35978124,17.24017492,8.18,43.72,13.54,0.91,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,EM,2020-01-15,40,1,-27.7490704,16.89906889,7.01,47.85,15.26,0.92,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-01-15,40,1,-27.55354456,17.23954461,8.94,44,13.38,0.87,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-01-15,40,2,-28.47414536,16.64295884,8.62,36.36,10.64,0.77,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,EM,2020-01-15,40,3,-27.68796858,17.32290592,8.58,42.16,12.92,0.85,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,EM,2020-01-15,40,1,-26.08054522,17.70138702,8.42,44.66,13.93,0.87,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,EM,2020-01-15,40,2,-25.19078856,17.08239183,7.9,45.19,14.03,0.92,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,EM,2020-01-15,40,3,-25.33229448,17.86119297,8.28,44.67,13.83,0.91,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
N.gyrinus,Resident,Noturus,EM,2020-01-15,40,1,-26.33048974,16.20104345,7.67,36.4,11.54,0.84,Siluriformes,Ictaluridae,gyrinus,Fish,Freshwater,Freshwater,NA
N.gyrinus,Resident,Noturus,EM,2020-01-15,40,2,-25.53386407,16.98428312,7.48,35.15,10.73,0.75,Siluriformes,Ictaluridae,gyrinus,Fish,Freshwater,Freshwater,NA
N.gyrinus,Resident,Noturus,EM,2020-01-15,40,3,-25.29869955,16.66871694,7.65,36.63,11.14,0.74,Siluriformes,Ictaluridae,gyrinus,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,GC,2020-01-15,40,1,-30.48229758,11.41355777,5.55,41.83,10.98,0.81,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,GC,2020-01-15,40,2,-30.2209658,11.72021225,2.06,41.3,10.54,0.78,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,GC,2020-01-15,40,3,-30.62551828,9.975972292,2.85,48.69,12.1,0.8,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,GC,2020-01-15,40,4,-30.65146031,13.77652255,3.77,49.56,12.47,0.71,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,GC,2020-01-15,80,1,-31.70820517,14.3818736,-0.11,45.55,13.14,1.01,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,GC,2020-01-15,80,2,-31.35970189,8.822605387,2.75,45.8,13.87,0.98,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,GC,2020-01-15,120,1,-28.22000075,10.70324974,1.35,46.55,14.42,0.93,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,GC,2020-01-15,120,2,-29.20032937,10.27057995,1.83,48.19,14.93,0.98,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.gulosus,Resident,Lepomis,GC,2020-01-15,120,3,-29.42757811,10.31617747,2.18,45.38,14.03,0.96,Centrarchiformes,Centrarchidae,gulosus,Fish,Freshwater,Freshwater,NA
L.humilis,Resident,Lepomis,GC,2020-01-15,80,1,-29.86678979,17.74148018,3.44,45.56,13.19,0.95,Centrarchiformes,Centrarchidae,humilis,Fish,Freshwater,Freshwater,NA
L.humilis,Resident,Lepomis,GC,2020-01-15,120,1,-30.05837168,11.93640932,3.05,49.97,15.24,1.03,Centrarchiformes,Centrarchidae,humilis,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,GC,2020-01-15,80,1,-32.51632662,13.59109264,4.09,42.64,13.21,0.87,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,GC,2020-01-15,80,2,-32.24016336,15.32683821,3.03,43.39,12.83,0.73,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,GC,2020-01-15,80,3,-32.48402627,14.24447873,3.18,43.63,13.1,0.9,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,GC,2020-01-15,80,1,-30.62088873,13.00947095,4.27,37.2,11.14,0.96,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,GC,2020-01-15,80,2,-30.90622347,14.8435045,2.99,45.32,13.57,0.93,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,GC,2020-01-15,80,3,-29.97073316,15.12418257,2.91,46.82,13.97,0.99,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,GC,2020-01-15,120,1,-28.98429022,15.65007396,1.77,43.57,13.02,0.92,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,GC,2020-01-15,120,2,-28.87627064,14.13522304,1.53,48.05,14.46,0.91,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,GC,2020-01-15,120,3,-28.88442306,15.09175766,2.29,45.46,13.5,0.95,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
N.gyrinus,Resident,Noturus,GC,2020-01-15,80,1,-30.28562042,9.91289274,0.84,36.42,9.09,0.93,Siluriformes,Ictaluridae,gyrinus,Fish,Freshwater,Freshwater,NA
N.gyrinus,Resident,Noturus,GC,2020-01-15,80,2,-30.54547884,10.08413676,1.07,45.36,12.19,0.66,Siluriformes,Ictaluridae,gyrinus,Fish,Freshwater,Freshwater,NA
A.mitchilli,Transient,Anchoa,LN,2020-01-15,40,1,-22.35456196,13.46855226,15.16,36.09,11.65,0.7,Clupeiformes,Engraulidae,mitchilli,Fish,Amphidromous,Diadromous,NA
A.mitchilli,Transient,Anchoa,LN,2020-01-15,40,2,-19.98764637,8.115053013,14.4,27.07,9.08,0.93,Clupeiformes,Engraulidae,mitchilli,Fish,Amphidromous,Diadromous,NA
A.spatula,Transient,Atractosteus,LN,2020-01-15,80,1,-20.12356289,17.89940464,11.25,46,13.97,1.24,Lepisosteiformes,Lepisosteidae,spatula,Fish,Catadromous,Diadromous,NA
C.variegatus,Transient,Cyprinodon,LN,2020-01-15,80,2,-19.30072501,9.283058894,8.68,31.31,9.24,0.86,Cyprinodontiformes,Cyprinodontidae,variegatus,Fish,Euryhaline,Euryhaline,NA
F.grandis,Transient,Fundulus,LN,2020-01-15,80,1,-19.16406155,12.84247706,9.45,38.62,11.43,0.87,Cyprinodontiformes,Fundulidae,grandis,Fish,Euryhaline,Euryhaline,NA
G.dormitor,Transient,Gobiomorus,LN,2020-01-15,280,1,-21.66230278,13.26626625,7.54,41.73,12.52,1.14,Gobiiformes,Eleotridae,dormitor,Fish,Euryhaline,Euryhaline,NA
M.beryllina,Transient,Menidia,LN,2020-01-15,80,1,-24.60949729,13.79982795,11.21,38.59,11.4,0.87,Atheriniformes,Atherinopsidae,beryllina,Fish,Euryhaline,Euryhaline,NA
M.salmoides,Resident,Micropterus,LN,2020-01-15,360,1,-23.15938541,15.40587391,7.52,45.43,13.23,1.11,Centrarchiformes,Centrarchidae,salmoides,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,MR,2020-01-15,40,1,-29.71553073,11.8752944,8.93,50.73,16.44,0.71,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,MR,2020-01-15,80,1,-31.35815141,12.32223155,8.16,38.19,12.21,0.8,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,MR,2020-01-15,80,1,-33.24243542,11.77053654,5.16,43.87,13.89,0.83,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,MR,2020-01-15,240,1,-26.98020579,7.963338844,-2.08,49.09,16.16,0.94,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
F.notatus,Resident,Fundulus,PD,2020-01-15,80,1,-25.75287434,8.159921438,9.91,41.24,11.46,0.86,Cyprinodontiformes,Fundulidae,notatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,PD,2020-01-15,80,1,-26.05960499,9.695848042,10.37,42.44,13.2,0.81,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,PD,2020-01-15,120,1,-27.9680186,9.443755399,10.3,43.92,13.43,0.91,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,PD,2020-01-15,160,1,-27.56474657,9.028957545,9.26,45.14,14.14,0.99,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
I.punctatus,Resident,Ictalurus,PD,2020-01-15,120,1,-29.03038127,13.24973524,8.9,50.95,12,0.94,Siluriformes,Ictaluridae,punctatus,Fish,Freshwater,Freshwater,NA
I.punctatus,Resident,Ictalurus,PD,2020-01-15,120,2,-25.02056105,15.62783604,8.97,47,14.09,0.91,Siluriformes,Ictaluridae,punctatus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,PD,2020-01-15,120,1,-25.4483497,11.59234952,8.11,37.88,11.88,0.85,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,PD,2020-01-15,160,1,-25.82538134,11.62521046,6.53,44.17,14.08,0.82,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,PD,2020-01-15,160,1,-24.16563415,11.44569217,6.53,37.07,11.46,0.82,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.auritus,Resident,Lepomis,PD,2020-01-15,160,2,-26.56818073,10.66891389,8.2,44.57,13.93,0.94,Centrarchiformes,Centrarchidae,auritus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PD,2020-01-15,120,1,-25.96795226,10.47221303,8.02,46.02,14.71,0.91,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,PD,2020-01-15,160,1,-23.70514808,11.6392714,6.68,41.99,13.66,0.87,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.macrochirus,Resident,Lepomis,PD,2020-01-15,120,1,-25.43331131,11.0497161,7.43,38.66,12.43,0.9,Centrarchiformes,Centrarchidae,macrochirus,Fish,Freshwater,Freshwater,NA
D.maculatus,Transient,Dormitator,PL,2020-01-15,120,1,-26.5647134,11.92852511,10.19,40.43,12.77,0.82,Gobiiformes,Eleotridae,maculatus,Fish,Catadromous,Diadromous,NA
L.megalotis,Resident,Lepomis,PL,2020-01-15,40,1,-24.15119139,16.600776,10.32,48.64,14.81,0.87,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,PL,2020-01-15,40,2,-24.09079951,17.50437308,9.44,44.99,13.26,0.78,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,PL,2020-01-15,40,3,-24.33347849,17.11801788,7.89,43.2,12.53,0.88,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,PL,2020-01-15,80,1,-22.5594889,17.60713787,9.4,33.93,10.03,0.79,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,PL,2020-01-15,120,1,-22.99229348,15.17359017,8.81,40.55,13.01,0.82,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,PL,2020-01-15,120,2,-24.07888757,13.6248776,8.95,34.31,10.12,0.89,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,PL,2020-01-15,120,3,-24.06361211,16.52846258,9.4,41.41,12.83,0.95,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
L.megalotis,Resident,Lepomis,PL,2020-01-15,120,4,-23.65356596,17.82579292,9.44,47.14,14.16,0.79,Centrarchiformes,Centrarchidae,megalotis,Fish,Freshwater,Freshwater,NA
P.latipinna,Transient,Poecilia,PL,2020-01-15,80,1,-23.85077409,14.27268538,11.66,37.43,10.5,0.72,Cyprinodontiformes,Poeciliidae,latipinna,Fish,Euryhaline,Euryhaline,NA
P.latipinna,Transient,Poecilia,PL,2020-01-15,80,2,-22.73326846,14.99378878,10.92,41.38,10.99,0.77,Cyprinodontiformes,Poeciliidae,latipinna,Fish,Euryhaline,Euryhaline,NA
P.latipinna,Transient,Poecilia,PL,2020-01-15,80,3,-24.63904982,15.08263816,10.75,43.84,11.67,0.76,Cyprinodontiformes,Poeciliidae,latipinna,Fish,Euryhaline,Euryhaline,NA
G.affinis,Resident,Gambusia,SF,2020-01-15,40,1,-23.67411031,15.84781067,2.36,38.73,10.76,0.86,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,SF,2020-01-15,40,2,-23.34560153,16.16887965,2.87,42.62,12.25,0.75,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
G.affinis,Resident,Gambusia,SF,2020-01-15,40,3,-23.78361324,16.47384486,1.67,44.75,12.41,0.68,Cyprinodontiformes,Poeciliidae,affinis,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,SF,2020-01-15,80,1,-25.28927847,18.77668446,-0.54,40.91,12.69,0.92,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,SF,2020-01-15,80,2,-23.72987569,16.69527174,3.12,36.74,11.12,0.88,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,SF,2020-01-15,80,3,-25.45150503,16.19706125,-1.97,43.57,12.62,0.73,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
H.cyanoguttatus,Resident,Herichthys,SF,2020-01-15,80,4,-24.90500431,15.60726055,0.86,45.59,13.3,0.87,Cichliformes,Cichlidae,cyanoguttatus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-01-15,80,1,-22.94409081,16.26348932,-0.34,44.58,13.47,0.81,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-01-15,80,2,-23.91846406,16.33092387,-0.11,40.99,12.64,0.79,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-01-15,80,3,-24.05635664,18.02584602,1.44,46.09,14.34,0.8,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-01-15,120,1,-20.41538435,16.50001349,4.63,46.04,14.38,0.71,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-01-15,120,2,-20.13757137,18.27444802,4.27,46.89,14.43,0.84,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-01-15,120,3,-20.32109016,16.39533896,6.17,42.69,13.13,0.87,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-01-15,120,4,-20.34745198,17.16127469,4.83,44.52,13.54,0.83,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
L.cyanellus,Resident,Lepomis,SF,2020-01-15,120,5,-20.31602058,16.32287198,4.18,43.96,13.6,0.77,Centrarchiformes,Centrarchidae,cyanellus,Fish,Freshwater,Freshwater,NA
P.latipinna,Transient,Poecilia,SF,2020-01-15,80,1,-24.04418965,14.43671752,0.68,10.34,2.45,0.29,Cyprinodontiformes,Poeciliidae,latipinna,Fish,Euryhaline,Euryhaline,NA
P.latipinna,Transient,Poecilia,SF,2020-01-15,80,2,-23.58387179,15.87901173,-0.46,42.43,12.73,0.76,Cyprinodontiformes,Poeciliidae,latipinna,Fish,Euryhaline,Euryhaline,NA
P.latipinna,Transient,Poecilia,SF,2020-01-15,80,3,-23.63862325,17.54172633,0.31,44.01,13.36,0.81,Cyprinodontiformes,Poeciliidae,latipinna,Fish,Euryhaline,Euryhaline,NA
C.variegatus,Transient,Cyprinodon,TR,2020-01-15,80,1,-14.3778644,18.50169747,9.08,41.98,13.36,0.91,Cyprinodontiformes,Cyprinodontidae,variegatus,Fish,Euryhaline,Euryhaline,NA
C.variegatus,Transient,Cyprinodon,TR,2020-01-15,80,2,-14.48856415,18.93360078,8.71,42.75,13.41,0.93,Cyprinodontiformes,Cyprinodontidae,variegatus,Fish,Euryhaline,Euryhaline,NA
C.variegatus,Transient,Cyprinodon,TR,2020-01-15,80,3,-12.24410138,18.59756386,8.79,45.4,14.4,0.86,Cyprinodontiformes,Cyprinodontidae,variegatus,Fish,Euryhaline,Euryhaline,NA
C.variegatus,Transient,Cyprinodon,TR,2020-01-15,80,4,-15.71220331,19.32288084,8.72,41.72,13.23,0.97,Cyprinodontiformes,Cyprinodontidae,variegatus,Fish,Euryhaline,Euryhaline,NA
C.variegatus,Transient,Cyprinodon,TR,2020-01-15,80,5,-13.83772262,17.97120109,8.76,44.93,13.51,0.92,Cyprinodontiformes,Cyprinodontidae,variegatus,Fish,Euryhaline,Euryhaline,NA
