site_code,iso_period,ammonia,bluegreen_cyano,canopy,conductivity,d_oxygen,depth_mx,diatoms,doc,gravel,green_algae,nitrate,ph,phosphate,q2wk_cdc,q2wk_max,q2wk_med,q2wk_min,q2wk_mu,q2wk_q25,q2wk_q75,q2wk_rsd,q2wk_sd,rain,sand,silt,temperature,turbidity,width
AR,January,0.08799,0.2675,0.777027027027027,1318,80.025,0.2725,0.53,7.686,0.265,0.395,11.1645,7.7375,1.86575,0.7406451612903223,127.99216199999998,109.72779375,95.4277845,110.03118857142856,102.36541275,119.001562125,0.09761796872784136,10.711404338862526,32896.25375315576,0.405,0.22500000000000003,21.45,6.074999999999999,4.9775
AR,June,0.0830375,0.27249999999999996,0.9054054054054056,700.75,61.025,0.37825,0.245,7.775998376623376,0.25,0.01,0.2991,7.645,0.51035,19.986666666666668,1027.901655,106.1881875,65.69509199999999,258.49238785714283,90.401543625,324.865061625,2.726974438329334,289.5724729650225,142397.6535710035,0.6,0,27.525,11.3,5.53385
AR,November,0.102815,0.21,0.8581081081081082,955,85.025,0.265,0.3,7.5245,0.175,0.18,6.0715,8.3,2.0125,0.5521472392638039,90.3307515,69.23469825,60.598059,71.88434635714286,66.75697387499999,75.03965249999999,0.12226715482423328,8.465129570141821,15992.004004647008,0.375,0.1,16.6,4.797499999999999,4.2804
AR,September,0.1876,0.19,0.891891891891892,831.0538461538462,71.7951923076923,0.19,0.14500000000000002,8.314666666666668,0.15875,0.0825,0.68035,8.104711538461538,1.051375,18.93180762589969,3989.7570362307692,482.3230842692307,67.00202353846153,1033.7206120879123,120.66789983653845,1860.781896721154,1.8698219130273315,1207.110676189983,43552.48827541208,0.43062500000000004,0.04125,23.67019230769231,10.1675,4.604025
EM,January,0.1120075,0.7675000000000001,0.027027027027027,822.75,78.775,0.37175,0.12,3.2775,0.1075,0.0175,0.268775,7.4725,0.059575,0.6190476190476193,13.592088,11.893077,11.32674,12.01443492857143,11.6099085,12.31782975,0.05502349189426026,0.6543986259073131,14077.139118310764,0.4325,0.4575,16.975,54.125,4.8075
EM,June,0.0848225,0.015,0.04729729729729725,302,44.65,0.6645,0.0125,7.160672077922078,0,0.0375,0.25924125000000003,7.315,0.32497875,19.96193029490617,14838.0294,1056.2185049999998,65.4119235,2755.269957642857,246.6397635,3104.23468125,3.994649594734307,4219.222822949125,196201.55546878808,0.775,0.225,24.85,123,6.09865
EM,November,0.103035,0.8625,0.054054054054054,767.5,97.475,0.54,0.3725,2.96,0,0.03499999999999999,0.08033499999999999,7.9075,0.03660249999999999,1.2499999999999998,3.1148534999999997,2.265348,1.9821795,2.4069322499999997,2.265348,2.5485165,0.15309310892394862,0.3468091681146491,21483.38032064373,0.5375,0.4625,22.625,16.2125,5.4209499999999995
EM,September,0.1022025,0.27749999999999997,0.06081081081081075,482.17211538461544,61.9375,0.4875,0.245,3.836,0.0375,0.97,0.085175,7.840000000000001,0.046135,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0,12982.801377584596,0.3625,0.6,24.254807692307693,40.275288461538466,5.690475
GC,January,0.07704749999999999,0.025,0.554054054054054,553.5,55.175,0.2125,0.2175,10.495,0,0.0975,0.1075,7.922499999999999,0.101555,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0,22986.79552683355,0.7125,0.2875,18.85,9.5,6.625
GC,June,0.2178375,0.1725,0.7905405405405405,293.8,27.15,0.4545,0.305,10.331980519480519,0.02173913043478261,0.3725,0.09268375000000001,7.34,0.1317625,4780,521.03004,0.2831685,0.2831685,61.58914875,0.2831685,29.1663555,501.5164312056294,142.01365554985125,145041.84213763653,0.8217391304347825,0.1565217391304348,24.85,60.974999999999994,6.8035
GC,November,0.116855,0.375,0.7027027027027027,444.325,37.625,0.1475,0.435,6.59825,0,0.1825,0.1,5.609999999999999,0.061805,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0,13736.797027126717,0.5,0.5,16.475,1.7875,5.018225
GC,September,0.56785,0.365,0.7027027027027027,353.4488636363636,35.211363636363636,0.2984038461538462,0.3975,11.625,0,0.8975,0.1,7.251818181818181,0.5725,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0,31422.822078528305,0.9,0.1,21.387500000000003,13.084204545454543,6.458883653846155
MR,January,0.08168500000000001,0.22,0.41891891891891897,2461.25,68.875,0.63,0.8475,5.3335,0,0.27,0.1,7.765,0.1123,0.8231173380035032,92.879268,80.84460675,73.34064149999999,84.22240242857143,79.00401149999999,91.958970375,0.0844295111319867,6.825670625560211,31119.023180252298,0.7,0.3,21.3,21.025,7.172499999999999
MR,June,0.091265,0.2425,0.5337837837837838,1496,48.175,0.69275,0.1575,8.472826298701298,0.1675,0.01,0.077825,7.7575,0.13253,63.845620121422385,5012.08245,163.24664024999998,21.8039745,562.2917357142857,98.11788525,240.764017125,8.011010431573409,1307.770537962061,146514.7965992686,0.3125,0.4775,29.5,19.7,6.5725750000000005
MR,November,0.096205,0.155,0.5,6645,62.525,0.6475,0.24,7.89325,0,0.1525,0.1,7.705,0.0507375,44.55,144.6991035,11.32674,4.2475274999999995,37.0950735,9.698521125,18.618328875000003,4.612618562161844,52.24593117278105,9967.549406527847,0.525,0.475,21.7,31.64,8.111725
MR,September,0.173875,0.2025,0.5202702702702703,3556.8269230769233,59.54096153846154,0.34750000000000003,0.2925,11.273333333333332,0,0.115,0.1,7.936442307692308,0.0549875,38,515.36667,19.96337925,2.5485165,87.43838753571428,4.530696,74.61489975,7.811910176798499,155.95212552636298,46719.80655220274,0.85,0.15,24.791346153846156,17.181346153846157,6.50575
PD,January,0.0746575,0.48,0.027027027027027,1005.5,79.15,0.58,1.36,3.07275,0,0.2225,0.1,7.76,0.103565,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0,20780.7627754632,0.575,0.425,20.125,7.15,6.4525
PD,June,0.1345,0.48,0,631,74.125,0.5505,0.23,6.522055194805194,0.075,0.08,0.098255,7.6725,0.0808575,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0,123697.02737755052,0.8,0,24.9,18.1,6.502975
PD,November,0.172925,1.0383510638297873,0,1152.611111111111,81.69722222222222,0.12783333333333333,0.18659574468085105,4.01375,0.0359375,0.1273936170212766,0.1,8.444444444444443,0.05658499999999999,0.3267973856209149,7.22079675,5.6279739375,5.026240875,5.754388446428571,5.3448054375,5.9996325937499995,0.02797826596494233,0.6060761158508736,15871.633284520862,0.40625000000000006,0.23125,29.569444444444443,40.636111111111106,2.0893394736842104
PD,September,6.83,0.9,0,1021.5384615384614,78.47115384615384,0.22765384615384618,0.1325,23.6725,0.05,0.1025,0.1,8.265192307692308,0.0694375,0,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0.2831685,0,0,39376.03167561241,0.2,0.25,28.234615384615388,36.77307692307692,3.5226796875
PL,January,0.13735,0.2,0.3716216216216215,2021.5,111.725,0.1725,0.6975,4.8345,0.2,0.175,1.8315,8.0525,0.0909875,1.3071895424836597,28.0336815,21.66239025,19.255458,22.168048285714285,20.52971625,23.149024875,0.11191306385976932,2.4243044634034945,25399.341345293735,0.4375,0.3375,21.950000000000003,47.925,4.3525
PL,June,0.10416375,0.395,0.49324324324324326,485.275,71.625,0.183,0.6875,5.332920454545453,0.05,0.14,0.16991499999999998,7.82,0.09619125,152.7956989247312,767.386635,13.16733525,7.362381,96.37842160714284,8.7782235,79.5703485,15.33274425508016,201.89138390915195,118189.04156977232,0.675,0.075,25.6,25.5,4.2334499999999995
PL,November,0.206975,0.2925,0.28378378378378377,1788.75,54.25,0.1775,0.765,3.83275,0,0.0775,1.369925,7.734999999999999,0.051785,22.122807017543856,191.70507449999997,16.1406045,14.4415935,33.899314714285715,15.361891125,19.39704225,2.9617478147557574,47.80440010671194,27862.338713677007,0.4625,0.3375,20.625,27.99,3.3796
PL,September,0.16405,0.2425,0.2094594594594593,1478.7434782608698,63.13152173913044,0.16499999999999998,0.3625,5.2330000000000005,0.025,0.13,0.1,8.029565217391305,0.0465625,1.376344086021506,19.821795,13.16733525,12.7425825,14.097746035714286,13.025751,14.370801375,0.14879735459269733,1.9592646522351729,59684.57947789387,0.6,0.225,22.6804347826087,31.717173913043478,4.1658
SF,January,0.147075,0.2275,0.7162162162162162,995.25,78.69999999999999,0.185,0.975,7.4625,0.225,0.02,11.71,7.295,2.72825,0.36305732484076425,46.1564655,44.4574545,39.07725299999999,44.31587025,43.8911175,45.23616787499999,0.03860249357849674,1.7161686018525613,43731.8050087497,0.125,0.45,20.25,5.725,3.2875
SF,June,0.35975,0.0925,0.7364864864864865,1062.75,68.075,0.163875,0.19,6.474084415584414,0.3,0.015,14.53525,7.1175,5.37575,2.7622950819672134,42.7584435,34.54655699999999,5.6633700000000005,31.12830867857143,27.608928749999997,37.732202625,0.3155547608252966,10.901330531472476,115363.45876910046,0.175,0.425,28.15,36.35,2.9379
SF,November,0.161975,0.3675,0.8243243243243242,1092.25,67.7,0.19,0.8724999999999999,7.1575,0.275,0.16749999999999998,8.2595,6.805,3.13125,2.5043478260869563,40.776264,32.5643775,13.025751,30.50129271428571,27.467344500000003,33.90942787499999,0.21155863888556853,6.889275380055833,39615.20409567967,0.0625,0.4875,25.275,5.1075,2.934
SF,September,0.225775,0.1075,0.7837837837837838,1100.6634615384617,66.89807692307693,0.1875,0.3,7.77475,0.225,0.035,4.58525,6.940096153846154,1.22025,2.762295081967214,37.944579,34.54655699999999,4.530696,26.516707392857143,17.060902125,36.67032075,0.3652918679497324,12.6195763377619,14679.478831987428,0.05,0.6875,26.025961538461537,14.523365384615385,2.890025
TR,January,0.181175,0.36,0.8175675675675678,6215.5,45.65,0.3775,1.5425,8.4445,0.475,0,1.0284,8.275,0.21735,26.333333333333336,10.4772345,0.8495054999999999,0.2831685,1.6787846785714284,0.35396062500000003,1.132674,3.2409355136538904,2.753192543994305,62079.200678003945,0.1,0.425,16.975,20.525,4.1225
TR,June,0.211725,0.045,0.8851351351351353,7451,10.675,0.45,0.0775,13.460175324675323,0,0.0925,0.27875,7.57,0.1188025,2558.857142857143,3454.6557,2.9732692499999995,0.2831685,343.9688222142857,0.637129125,277.50513,306.7150518755495,911.946432253726,161113.10772529896,0.125,0.875,28.35,79.4,4.44105
TR,November,0.174175,0.6075,0.8581081081081082,5492.75,31.725,0.2675,0.56,7.08075,0,0.105,0.682125,8.29,0.07703,190.00000000000003,49.5544875,0.566337,0.2831685,7.261249392857143,0.2831685,3.185645625,27.82749549446564,15.759740315849188,24371.451093314896,0.175,0.825,20.775,15.1175,4.122275
TR,September,0.218025,0.395,0.945945945945946,5678.394230769231,64.65384615384616,0.29,0.2375,15.5875,0.025,0.1075,0.90405,8.57375,0.183825,101.6986301369863,588.99048,10.33565025,1.6990109999999998,66.52437117857143,4.95544875,18.051991875,15.623973425825175,161.48392484462337,16316.179499785305,0.05,0.925,24.658653846153843,34.52173076923077,3.6517
WM,January,0.102075,0.4525,0.9121621621621624,719,61.2,0.5525,0.2675,10.00475,0,0.515,0.1,7.7525,0.1793,4.181818181818181,19.538626499999996,9.3445605,3.964359,10.092934392857142,6.442083375,12.60099825,0.472991251209495,4.419895362897824,14344.532854710373,0.4,0.6,18.175,44.375,7.4025
WM,June,0.0822175,0.005,0.8040540540540541,362.175,76.85,0.7514285714285714,0.015,10.313457792207792,0,0.035,0.1154,7.715,0.0637875,21.38223140495868,21860.6082,2741.0710799999997,297.32692499999996,6853.486752857142,751.8123674999999,13712.4346125,2.8583961717094977,7835.067081455618,184653.743701198,1,0,25.675,29.5,11.3235
WM,November,0.160725,0.07,0.7702702702702703,675.5,57.85,0.66,0.2,10.755,0,0.05,0.1,7.9475,0.074435,2.984671532846716,566.337,387.940845,234.1803495,393.34127282142856,324.22793249999995,451.6537575,0.26507314237298074,102.83269883897944,24033.724641175493,0.775,0.225,21.925,6.609999999999999,11.151775
WM,September,0.119225,0.2975,0.9189189189189192,424.66323529411767,71.54705882352941,0.6775,0.4,7.725,0,0.125,0.1,7.873823529411765,0.13555,44.193548387096776,308.653665,8.7782235,3.964359,48.21955028571429,5.875746375,31.360911375,10.201636617212142,89.55224629167212,27834.48171536229,0.8,0.2,24.50735294117647,16.596176470588237,8.75145
